mu,epsilon,ns,nt,m,xblocks,yblocks,tblocks,random_eigen,seed_spatial,seed_sim,stationary_lower_quartile,stationary_median,stationary_upper_quartile,nonstationary_lower_quartile,nonstationary_median,nonstationary_upper_quartile
xyt4,noise,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.780709733132138,0.9561326444429924,1.1013718712858696,0.6094435181000275,0.9142488495656993,1.0671098903528948
xyt4,noise,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.9241735664451467,1.0632421113117787,1.3700823083397704,1.0020209487800207,1.1358413800504183,1.379099968995399
xyt4,seplow,50,100,100,100,50:50,50:50,FALSE,123,321,0.9220551595135251,1.1248856132148295,1.3840906194623293,0.9158491057511889,1.1069880359681703,1.3268794021581316
xyt4,seplow,50,100,100,50:50,100,50:50,FALSE,123,321,0.8349308295465996,1.0249689638522603,1.2042328597029748,0.9219244301655135,1.0971884267744283,1.316422660360987
xyt4,seplow,50,100,100,50:50,50:50,100,FALSE,123,321,0.912363233574804,1.1208822274272192,1.4053372948239022,0.963704449324515,1.1679435935581288,1.2909381997157912
xyt4,seplow,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.7119331091600607,0.9177806864920075,1.063519559064264,0.7143976178444797,0.9654446768680744,1.1217765173539362
xyt4,seplow,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.9361437916121811,1.0889537873177353,1.3121314283321261,0.9087655056750267,1.1138482975072128,1.3150875302616118
xyt4,seplow,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.9049286246960005,1.1270989755703473,1.3502027048010663,0.970005972089632,1.2065202419066163,1.4809478799265325
xyt4,seplow,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,1.0140538547193214,1.2472194943239687,1.5551967597456284,1.0021937109844516,1.241766340685988,1.610413139199681
xyt4,sephigh,50,100,100,100,50:50,50:50,FALSE,123,321,1.0884832665385222,1.3035409753781542,1.472629115841518,1.116501629629273,1.403747776594344,1.5464049989230184
xyt4,sephigh,50,100,100,50:50,100,50:50,FALSE,123,321,1.0311828331234896,1.2382897606274685,1.4612350296185665,1.1093298290885039,1.2572533344761165,1.440306760846255
xyt4,sephigh,50,100,100,50:50,50:50,100,FALSE,123,321,0.9312992642617717,1.1445053638673441,1.3743060507959945,1.032134991221939,1.2577120176369023,1.5603498571177747
xyt4,sephigh,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.9734634844605916,1.1867160317200696,1.4589862929262698,0.9999160170653697,1.2145144383779196,1.4177653907448717
xyt4,sephigh,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,1.046428731983102,1.341329383800811,1.5927140838517593,1.0676397395092498,1.3157952451568367,1.5455565791743249
xyt4,sephigh,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,1.08808599771471,1.275297131992458,1.4943436841824618,1.091445697720804,1.375742498252858,1.6177568922828431
xyt4,sephigh,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,1.0607548386641008,1.2868079762084021,1.5441204543189502,1.042340626729645,1.275127740356008,1.6123389786867477
xyt2,noise,50,100,100,100,100,100,TRUE,123,321,0.35522181811530334,0.6496319090838063,0.9243226647273556,0.40470412482929013,0.7051531437254925,0.9505906314595143
xyt2,seplow,50,100,100,100,100,100,TRUE,123,321,0.34245313831499496,0.6550408833086834,0.9458533590211491,0.3326168830516531,0.6930506063473045,0.9736614467279815
xyt2,sephigh,50,100,100,100,100,100,TRUE,123,321,0.3394697847361445,0.6469580420809178,0.9572678061376378,0.3731989447209856,0.7253848544274186,0.944803307248397
xyt3,noise,50,100,100,100,100,100,TRUE,123,321,0.7381143018244347,0.9951749706903921,1.1292619681896188,0.840980023069418,1.0255165790794436,1.18734257494665
xyt3,seplow,50,100,100,100,100,100,TRUE,123,321,0.6799367303080501,0.9798641104618282,1.1895723925828325,0.7264653640650031,0.9870678591417081,1.1127662806403606
xyt3,sephigh,50,100,100,100,100,100,TRUE,123,321,0.6847279481426398,0.996353301312493,1.1812095121395139,0.7400566564551954,0.994943932794514,1.1316264801792049
xyt4,noise,50,100,100,100,100,100,TRUE,123,321,1.137816183650648,1.3462094647030516,1.5651819814183983,1.147381191312118,1.3390701455295697,1.5951864504014557
xyt4,seplow,50,100,100,100,100,100,TRUE,123,321,1.0820121953331983,1.321084413298607,1.5865680199763919,1.129714329043169,1.3312780330971612,1.5616320151545633
xyt4,sephigh,50,100,100,100,100,100,TRUE,123,321,1.0735231557677694,1.3039552533696024,1.5622556377001624,1.1029360592333215,1.3290877020942837,1.5535068562625873
